project_short_name,case_barcode,sample_barcode,sample_type_name,CD274_counts,PDCD1LG2_counts,PDCD1_counts,HLA_A_counts,HLA_B_counts,HLA_C_counts,B2M_counts,GJA1_counts,GJB2_counts,GJA5_counts,GJB6_counts,ARNTL_counts,CLOCK_counts,PER1_counts,PER2_counts,CRY1_counts,CRY2_counts,MYC_counts,TP53_counts,CDH1_counts,VIM_counts
TCGA-LUAD,TCGA-44-5645,TCGA-44-5645-01A,Primary Tumor,389,355,151,22957,62165,52221,145757,4428,166,175,53,1239,4452,2349,2778,973,5418,831,3364,69398,13171
TCGA-LUAD,TCGA-44-5645,TCGA-44-5645-11A,Solid Tissue Normal,991,532,52,49398,129045,116838,230953,8366,38,6377,4,706,1706,3056,1116,1242,4259,659,2158,8169,37602
TCGA-LUAD,TCGA-44-5645,TCGA-44-5645-01B,Primary Tumor,427,258,9,3059,8423,3405,40504,1540,80,59,6,1098,6934,776,1711,656,1671,258,879,20063,7247
TCGA-LUAD,TCGA-44-6144,TCGA-44-6144-11A,Solid Tissue Normal,1536,426,75,65305,131438,74671,210869,6343,67,3562,6,357,1330,11694,1237,932,4121,708,1547,6656,23736
TCGA-LUAD,TCGA-44-6145,TCGA-44-6145-11A,Solid Tissue Normal,1221,334,67,26788,58917,48069,131076,14059,43,957,3,609,1186,7718,1879,1366,3567,5021,1070,7847,35230
TCGA-LUAD,TCGA-44-6145,TCGA-44-6145-01A,Primary Tumor,989,511,449,68630,153567,85975,196205,2515,1450,1246,14,553,1022,5196,3601,998,1992,1246,1038,11767,11627
TCGA-LUAD,TCGA-44-6146,TCGA-44-6146-01B,Primary Tumor,225,90,4,4011,7225,3427,42157,1686,664,157,3,533,5888,1146,4096,863,1244,523,609,16027,4594
TCGA-LUAD,TCGA-44-6146,TCGA-44-6146-01A,Primary Tumor,168,41,19,43486,49035,58915,117151,2320,1481,495,2,334,2963,7827,7724,777,3643,1691,3230,44467,4260
TCGA-LUAD,TCGA-44-6146,TCGA-44-6146-11A,Solid Tissue Normal,721,263,74,33271,77252,69618,161154,7380,13,1230,0,313,1425,8822,1462,908,3613,2216,1345,6972,23256
TCGA-LUAD,TCGA-44-6147,TCGA-44-6147-01B,Primary Tumor,334,267,25,5900,11471,4067,35388,1747,46,246,2,603,3885,1005,1179,732,855,493,476,10420,9746
TCGA-LUAD,TCGA-44-6147,TCGA-44-6147-11A,Solid Tissue Normal,5426,906,137,40922,91272,68187,160871,30250,101,2337,27,637,1647,10716,3543,4863,4010,12274,1153,14295,38660
TCGA-LUAD,TCGA-44-6147,TCGA-44-6147-01A,Primary Tumor,176,212,190,48616,85507,64617,116879,2571,203,853,6,683,3026,9249,2576,1238,5103,2046,2622,24892,26567
TCGA-LUAD,TCGA-44-6148,TCGA-44-6148-01A,Primary Tumor,255,157,48,23239,39074,33167,69676,4306,120,374,9,1113,1971,5808,1900,1080,5022,2244,3077,15116,18101
TCGA-LUAD,TCGA-44-6148,TCGA-44-6148-11A,Solid Tissue Normal,612,666,43,44364,97527,88577,197939,8222,23,1801,0,1447,2195,9334,2335,1624,6192,1239,1999,11238,47312
TCGA-LUAD,TCGA-44-6774,TCGA-44-6774-01A,Primary Tumor,192,216,87,18828,25952,26431,51350,6283,1205,1448,18,355,1114,671,648,599,1110,1854,2113,19312,20540
TCGA-LUAD,TCGA-44-6775,TCGA-44-6775-01C,Primary Tumor,443,248,14,4473,12873,5310,45767,5961,460,452,4,732,4024,661,1500,889,875,717,595,2973,6700
TCGA-LUAD,TCGA-44-6775,TCGA-44-6775-01A,Primary Tumor,488,578,88,54588,103135,75786,170409,13590,4856,1179,21,847,3091,1677,1878,1084,2122,1308,2374,9234,24594
TCGA-LUAD,TCGA-44-6776,TCGA-44-6776-01A,Primary Tumor,98,38,25,29821,17117,28364,43028,772,76,380,10,238,2471,10606,2464,442,4935,372,2167,15174,4242
TCGA-LUAD,TCGA-44-6776,TCGA-44-6776-11A,Solid Tissue Normal,1011,365,21,31417,55627,45926,130546,7374,15,2349,0,332,1660,13838,2431,852,5236,2048,1201,7071,18158
TCGA-LUAD,TCGA-44-6777,TCGA-44-6777-01A,Primary Tumor,917,589,137,56910,100380,73050,183277,6075,2172,2201,13,483,2624,1991,755,609,1609,1736,2459,12956,49359
TCGA-LUAD,TCGA-44-6777,TCGA-44-6777-11A,Solid Tissue Normal,445,264,82,35618,67651,63577,148491,4229,38,2450,0,314,1064,2635,725,629,2362,834,1468,5989,26472
TCGA-LUAD,TCGA-44-6778,TCGA-44-6778-11A,Solid Tissue Normal,2544,344,94,60382,103072,74537,263883,16080,115,4326,11,748,1584,9695,2195,1270,3157,7314,1549,5035,29563
